x,y
4.893,9.0
4.953,46.0
5.0,9.127
5.0,10.369
5.0,45.602
5.0,46.187
5.072,45.0
5.174,12.0
5.191,44.0
5.198,14.0
5.311,43.0
5.391,6.0
5.406,4.0
5.414,5.0
5.43,42.0
5.431,10.0
5.433,9.0
5.443,8.0
5.458,7.0
5.479,14.0
5.483,12.0
5.535,11.0
5.543,13.0
5.55,41.0
5.596,36.0
5.628,37.0
5.644,41.0
5.656,46.0
5.656,45.0
5.662,43.0
5.665,40.0
5.669,38.0
5.67,44.0
5.676,42.0
5.696,37.0
5.717,39.0
5.773,38.0
5.85,39.0
6.0,3.891
6.0,46.15
6.623,46.0
6.881,46.0
7.0,4.139
7.0,45.902
7.0,45.982
8.0,4.321
8.0,45.728
8.0,45.83
9.0,4.465
9.0,45.594
9.0,45.678
10.0,4.637
10.0,4.793
10.0,45.446
10.0,45.525
11.0,4.791
11.0,4.988
11.0,45.334
11.064,5.0
11.829,5.0
12.0,4.94
12.0,5.137
12.0,6.694
12.0,45.183
12.351,5.0
13.0,5.146
13.0,6.773
14.0,6.755
14.0,6.863
15.0,44.788
15.0,44.839
16.0,5.336
16.0,5.412
16.0,44.613
16.0,44.73
16.801,45.0
17.0,5.357
17.0,5.468
17.0,5.671
17.0,42.812
17.0,44.583
17.0,45.382
17.069,43.0
17.132,43.0
17.145,45.0
18.0,5.724
18.0,5.818
18.0,44.445
18.0,44.523
18.541,6.0
19.0,5.811
19.0,5.99
19.0,44.34
19.058,6.0
20.0,5.992
20.0,6.087
20.0,44.233
20.24,6.0
21.0,6.129
21.0,6.225
21.0,44.128
21.33,6.0
21.813,44.0
21.864,44.0
22.0,6.191
22.589,6.0
22.761,44.0
23.0,5.526
23.0,6.311
23.0,43.953
23.119,44.0
23.689,44.0
23.905,45.0
24.0,5.988
24.0,6.4
24.0,43.778
24.0,43.833
24.0,45.145
25.0,6.45
25.0,6.555
25.0,43.654
26.0,5.706
26.0,43.538
27.0,6.786
27.874,6.0
28.0,5.91
28.0,6.888
29.728,7.0
30.0,7.167
31.0,7.258
32.0,7.4
33.0,7.52
34.0,7.602
35.0,7.755
35.291,8.0
36.0,7.843
38.0,8.095
38.143,8.0
40.0,41.639
41.0,8.429
42.0,8.551
43.0,8.698
43.324,40.0
43.683,40.0
44.0,39.844
44.0,40.089
44.34,40.0
44.661,41.0
44.94,41.0
45.0,9.528
45.0,39.757
45.0,39.827
45.0,40.962
45.082,41.0
45.2,9.0
45.647,9.0
45.8,41.0
46.0,40.808
46.0,40.969
46.529,11.0
47.0,9.173
47.0,9.227
47.0,11.216
47.0,11.288
47.0,40.704
47.0,40.813
48.0,9.288
48.0,9.373
48.0,40.529
48.0,40.657
49.0,9.402
49.0,9.52
49.0,40.44
49.0,40.501
50.0,9.558
50.0,9.666
50.0,40.265
50.0,40.346
51.0,9.731
51.0,9.812
51.0,40.103
51.837,40.0
51.92,40.0
52.0,9.922
52.0,39.925
52.064,40.0
52.111,10.0
52.275,40.0
52.581,10.0
53.0,10.064
53.0,10.327
53.0,39.535
54.0,10.789
54.0,39.146
54.291,39.0
55.0,11.259
55.0,38.636
57.516,13.0
58.0,13.394
58.0,36.495
58.259,14.0
58.557,36.0
58.614,14.0
58.634,36.0
59.0,14.342
59.0,35.659
59.476,35.0
60.0,34.399
60.289,34.0
60.34,16.0
60.807,17.0
60.872,17.0
61.0,17.172
61.0,17.517
61.18,18.0
61.418,18.0
61.534,32.0
61.552,19.0
61.872,19.0
61.925,20.0
62.0,19.274
62.0,20.202
62.253,20.0
62.36,30.0
62.377,21.0
62.683,29.0
62.813,29.0
63.116,24.0
63.12,26.0
63.136,25.0
