x,y
5.391,6
5.406,4
5.414,5
5.431,10
5.433,9
5.443,8
5.458,7
5.479,14
5.483,12
5.535,11
5.543,13
5.596,36
5.628,37
5.644,41
5.656,46
5.656,45
5.662,43
5.665,40
5.669,38
5.67,44
5.676,42
5.696,37
5.717,39
6,3.891
6,46.15
6.623,46
6.881,46
7,4.139
7,45.902
7,45.982
8,4.321
8,45.728
8,45.83
9,4.465
9,45.594
9,45.678
10,4.637
10,45.446
10,45.525
11,4.791
11,45.334
11.829,5
12,45.183
12.351,5
13,5.146
15,44.788
15,44.839
16,5.412
16,44.613
16,44.73
17,5.671
17,44.583
18,5.724
18,5.818
18,44.445
18,44.523
19,5.811
19,44.34
20,5.992
20,6.087
20,44.233
20.24,6
21,6.129
21,6.225
21,44.128
21.813,44
21.864,44
22,6.191
22.761,44
23,6.311
23,43.953
23.119,44
24,6.4
24,43.778
24,43.833
25,6.45
25,6.555
25,43.654
26,43.538
27,6.786
28,6.888
29.728,7
31,7.258
32,7.4
33,7.52
34,7.602
35,7.755
36,7.843
38,8.095
40,41.639
41,8.429
42,8.551
43,8.698
44.661,41
44.94,41
45,40.962
45.082,41
45.647,9
45.8,41
46,40.808
46,40.969
47,9.173
47,9.227
47,40.704
47,40.813
48,9.288
48,9.373
48,40.529
48,40.657
49,9.402
49,9.52
49,40.44
49,40.501
50,9.558
50,9.666
50,40.265
50,40.346
51,9.731
51,9.812
51,40.103
51.837,40
51.92,40
52,9.922
52,39.925
52.064,40
52.111,10
53,10.327
53,39.535
54,10.789
54,39.146
54.291,39
55,11.259
55,38.636
57.516,13
58,13.394
58,36.495
58.557,36
58.614,14
58.634,36
59,14.342
59,35.659
59.476,35
60,34.399
60.289,34
60.34,16
60.807,17
60.872,17
61,17.172
61.418,18
61.534,32
61.872,19
62,19.274
62.253,20
62.36,30
62.683,29
62.813,29
63.116,24
63.12,26
63.136,25
