order,grid_x,grid_y,pixel_x,pixel_y,crossed_line_type
1,47.0,0.136,2986.4,265.0,vertical_line
2,46.0,0.159,2927.5,266.0,vertical_line
3,45.898,2.0,2924.5,396.5,horizontal_line
4,45.0,2.504,2872.1,405.0,vertical_line
5,44.0,2.66,2813.5,413.5,vertical_line
6,41.22,3.0,2651.5,438.4,horizontal_line
7,39.0,3.219,2522.2,455.0,vertical_line
8,49.0,1.113,3087.7,372.0,vertical_line
9,50.135,1.0,3114.5,364.6,horizontal_line
10,50.547,1.0,3139.5,363.8,horizontal_line
11,55.0,0.425,3402.1,321.0,vertical_line
12,56.0,0.234,3461.7,307.5,vertical_line
13,57.0,0.094,3521.5,297.0,vertical_line
14,57.48,0.0,3550.0,290.4,horizontal_line
15,57.916,0.0,3576.0,289.4,horizontal_line
16,58.357,0.0,3602.0,288.4,horizontal_line
17,58.384,1.0,3604.0,347.9,horizontal_line
18,58.344,2.0,3602.0,407.4,horizontal_line
19,58.33,7.0,3603.0,701.4,horizontal_line
20,58.399,9.0,3609.5,807.1,horizontal_line
21,58.415,10.0,3611.5,853.3,horizontal_line
22,58.43,11.0,3613.0,912.6,horizontal_line
23,58.432,12.0,3613.5,970.0,horizontal_line
24,58.415,13.0,3612.5,1027.2,horizontal_line
25,58.415,14.0,3612.5,1085.6,horizontal_line
26,58.432,15.0,3613.5,1143.6,horizontal_line
27,58.423,16.0,3613.5,1202.0,horizontal_line
28,58.442,17.0,3615.0,1243.8,horizontal_line
29,57.744,22.0,3578.5,1516.6,horizontal_line
30,58.0,22.059,3593.4,1519.5,vertical_line
31,58.543,33.0,3631.0,2143.8,horizontal_line
32,58.57,37.0,3634.5,2368.7,horizontal_line
33,58.551,39.0,3634.0,2481.0,horizontal_line
34,58.599,41.0,3639.0,2594.0,horizontal_line
35,55.0,41.45,3435.1,2627.5,vertical_line
36,52.0,42.031,3253.5,2666.0,vertical_line
37,51.893,42.0,3243.0,2664.5,horizontal_line
38,51.0,41.662,3149.1,2648.0,vertical_line
39,49.0,41.659,3091.0,2649.5,vertical_line
40,51.0,40.214,3193.9,2566.5,vertical_line
41,52.0,40.193,3251.4,2564.0,vertical_line
42,44.161,40.0,2811.0,2542.6,horizontal_line
43,43.0,41.446,2747.1,2619.5,vertical_line
44,42.0,41.871,2690.0,2617.0,vertical_line
45,38.0,41.426,2460.9,2594.0,vertical_line
46,37.0,41.251,2402.4,2585.5,vertical_line
47,31.0,40.516,2059.0,2551.0,vertical_line
48,24.0,39.789,1661.0,2516.5,vertical_line
49,22.0,39.46,1548.5,2500.0,vertical_line
50,20.0,39.193,1435.1,2487.5,vertical_line
51,19.0,39.102,1379.3,2483.5,vertical_line
52,18.427,39.0,1346.5,2478.0,horizontal_line
53,13.0,38.239,1041.5,2437.0,vertical_line
54,11.0,37.69,929.3,2408.0,vertical_line
55,8.0,36.196,759.1,2326.5,vertical_line
56,7.0,35.537,703.6,2290.5,vertical_line
57,4.472,33.0,558.0,2151.3,horizontal_line
58,1.0,26.85,378.7,1807.5,vertical_line
59,0.332,25.0,349.0,1704.5,horizontal_line
60,0.0,24.207,344.9,1659.5,vertical_line
61,0.0,22.46,340.2,1561.0,vertical_line
62,0.0,20.835,343.6,1469.5,vertical_line
63,0.0,20.308,342.5,1440.0,vertical_line
64,0.163,20.0,350.5,1422.5,horizontal_line
65,2.0,15.091,441.8,1144.0,vertical_line
66,5.591,11.0,632.0,906.3,horizontal_line
67,6.0,10.592,654.0,882.5,vertical_line
68,8.0,9.4,761.2,811.5,vertical_line
69,8.749,9.0,803.0,787.4,horizontal_line
70,9.0,8.841,816.8,778.0,vertical_line
71,10.0,8.442,872.1,753.5,vertical_line
72,11.0,8.164,927.4,736.0,vertical_line
73,13.0,7.717,1038.3,707.0,vertical_line
74,16.07,7.011,1211.1,677.2,horizontal_line+vertical_line
75,17.0,6.331,1262.5,665.5,vertical_line
76,18.0,6.13,1318.3,661.0,vertical_line
77,18.192,6.0,1329.5,655.6,horizontal_line
78,19.0,5.861,1376.8,646.5,vertical_line
79,20.0,5.488,1430.9,623.0,vertical_line
80,21.0,5.624,1487.4,628.5,vertical_line
81,23.0,5.364,1601.2,609.0,vertical_line
82,24.0,5.173,1658.5,596.0,vertical_line
