seq,pixel_x,pixel_y,grid_col,grid_row,crossing_type
0,335.9,848.9,4.940,13.875,row
1,338.7,792.7,5.000,12.888,row
2,338.0,737.0,4.998,11.905,row
3,337.8,681.4,5.006,10.919,row
4,337.7,622.8,5.014,9.871,row
5,343.4,580.2,5.122,9.122,col
6,359.1,566.3,5.397,8.883,row
7,363.3,510.8,5.482,7.891,row
8,389.8,452.7,5.957,6.874,row
9,392.2,397.4,6.010,5.895,row
10,399.6,349.8,6.150,5.053,col
11,455.6,344.3,7.136,4.988,col
12,509.8,342.2,8.090,4.981,col
13,567.4,340.1,9.093,4.977,col
14,627.9,337.5,10.138,4.966,col
15,682.8,333.1,11.092,4.918,col
16,742.7,335.0,12.138,4.985,col
17,800.6,338.4,13.145,5.078,col
18,858.1,339.5,14.148,5.130,col
19,914.4,351.3,15.124,5.368,col
20,972.0,355.2,16.136,5.467,col
21,1029.4,360.0,17.141,5.580,col
22,1085.3,367.6,18.119,5.741,col
23,1142.6,372.1,19.116,5.846,col
24,1201.6,374.6,20.146,5.918,col
25,1259.7,378.5,21.133,6.011,col
26,1308.2,384.5,21.971,6.140,row
27,1315.8,385.5,22.103,6.160,col
28,1373.2,390.7,23.107,6.278,col
29,1429.9,396.0,24.091,6.395,col
30,1490.5,402.1,25.147,6.530,col
31,1547.3,408.1,26.147,6.659,col
32,1603.9,416.2,27.139,6.825,col
33,1660.3,423.6,28.116,6.980,col
34,1718.4,427.4,29.139,7.070,col
35,1748.5,430.9,29.669,7.143,row
36,1775.6,433.1,30.143,7.193,col
37,1833.5,438.3,31.148,7.306,col
38,1889.9,444.2,32.146,7.430,col
39,1946.8,449.3,33.146,7.540,col
40,1999.7,454.3,34.084,7.648,col
41,2057.3,460.1,35.089,7.770,col
42,2115.2,465.5,36.101,7.884,col
43,2172.5,471.2,37.108,8.003,col
44,2229.0,474.8,38.096,8.085,col
45,2247.6,477.8,38.424,8.143,row
46,2285.8,481.3,39.097,8.215,col
47,2345.8,485.8,40.146,8.311,col
48,2402.2,493.5,41.143,8.462,col
49,2458.9,499.9,42.142,8.590,col
50,2512.4,505.7,43.084,8.706,col
51,2572.4,514.3,44.145,8.873,col
52,2628.0,518.8,45.130,8.966,col
53,2682.1,522.7,46.094,9.049,col
54,2716.1,527.7,46.703,9.145,row
55,2739.1,530.2,47.115,9.195,col
56,2796.3,536.9,48.137,9.328,col
57,2850.0,542.6,49.087,9.440,col
58,2906.7,550.6,50.099,9.596,col
59,2962.5,560.9,51.092,9.791,col
60,3020.6,575.3,52.116,10.058,col
61,3035.0,579.2,52.375,10.130,row
62,3076.6,594.6,53.121,10.411,col
63,3134.1,618.7,54.143,10.846,col
64,3170.9,635.1,54.795,11.143,row
