x,y
4.791,11
45.334,11
5,11.829
45.183,12
5,12.351
5.146,13
44.788,15
44.839,15
5.412,16
44.613,16
44.73,16
5.671,17
44.583,17
5.724,18
5.818,18
44.445,18
44.523,18
5.811,19
44.34,19
5.992,20
6.087,20
44.233,20
6,20.24
6.129,21
6.225,21
44.128,21
44,21.813
44,21.864
6.191,22
44,22.761
6.311,23
43.953,23
44,23.119
6.4,24
43.778,24
43.833,24
6.45,25
6.555,25
43.654,25
43.538,26
6.786,27
6.888,28
7,29.728
7.258,31
7.4,32
7.52,33
7.602,34
7.755,35
7.843,36
8.095,38
41.639,40
8.429,41
8.551,42
8.698,43
41,44.661
41,44.94
40.962,45
41,45.082
9,45.647
41,45.8
40.808,46
40.969,46
9.173,47
9.227,47
40.704,47
40.813,47
9.288,48
9.373,48
40.529,48
40.657,48
9.402,49
9.52,49
40.44,49
40.501,49
9.558,50
9.666,50
40.265,50
40.346,50
9.731,51
9.812,51
40.103,51
40,51.837
40,51.92
9.922,52
39.925,52
40,52.064
10,52.111
10.327,53
39.535,53
10.789,54
39.146,54
39,54.291
11.259,55
38.636,55
13,57.516
13.394,58
36.495,58
36,58.557
14,58.614
36,58.634
14.342,59
35.659,59
35,59.476
34.399,60
34,60.289
16,60.34
17,60.807
17,60.872
17.172,61
18,61.418
32,61.534
19,61.872
19.274,62
20,62.253
30,62.36
29,62.683
29,62.813
24,63.116
26,63.12
25,63.136
