x,y
11,4.791
11.829,5
12.351,5
13,5.146
16,5.412
17,5.671
18,5.724
19,5.811
18,5.818
20,5.992
20.24,6
20,6.087
21,6.129
22,6.191
21,6.225
23,6.311
24,6.4
25,6.45
25,6.555
27,6.786
28,6.888
29.728,7
31,7.258
32,7.4
33,7.52
34,7.602
35,7.755
36,7.843
38,8.095
41,8.429
42,8.551
43,8.698
45.647,9
47,9.173
47,9.227
48,9.288
48,9.373
49,9.402
49,9.52
50,9.558
50,9.666
51,9.731
51,9.812
52,9.922
52.111,10
53,10.327
54,10.789
55,11.259
57.516,13
58,13.394
58.614,14
59,14.342
60.34,16
60.807,17
60.872,17
61,17.172
61.418,18
61.872,19
62,19.274
62.253,20
63.116,24
63.136,25
