x,y
63.136,25
63.12,26
62.683,29
62.813,29
62.36,30
61.534,32
60.289,34
60,34.399
59.476,35
59,35.659
58.557,36
58.634,36
58,36.495
55,38.636
54.291,39
54,39.146
53,39.535
52,39.925
51.837,40
51.92,40
52.064,40
51,40.103
50,40.265
50,40.346
49,40.44
49,40.501
48,40.529
48,40.657
47,40.704
46,40.808
47,40.813
45,40.962
46,40.969
44.661,41
44.94,41
45.082,41
45.8,41
40,41.639
26,43.538
25,43.654
24,43.778
24,43.833
23,43.953
21.813,44
21.864,44
22.761,44
23.119,44
21,44.128
20,44.233
19,44.34
18,44.445
18,44.523
17,44.583
16,44.613
16,44.73
15,44.788
15,44.839
12,45.183
11,45.334
