x_px,y_px
270,415
272,389
273,358
275,441
279,2299
280,2148
280,2209
282,2266
282,2332
284,2090
285,2383
288,2455
289,239
289,283
289,305
289,335
289,396
289,415
289,455
289,2087
289,2165
289,2197
289,2229
289,2252
289,2280
289,2317
289,2388
289,2401
289,2428
289,2526
291,471
293,331
293,2495
294,686
295,389
298,580
298,2122
299,2578
303,441
304,498
306,264
306,525
307,2526
308,553
309,264
310,441
311,764
311,793
312,305
312,611
312,2552
312,2578
313,441
313,2090
314,331
314,712
314,2616
316,830
316,2148
316,2794
317,331
317,389
317,553
317,2266
317,2669
320,253
320,281
320,307
320,333
320,336
320,361
320,391
320,419
320,445
320,451
320,482
320,498
320,538
320,555
320,595
320,610
320,619
320,647
320,659
320,672
320,702
320,714
320,732
320,771
320,829
320,867
320,2095
320,2152
320,2209
320,2213
320,2269
320,2272
320,2327
320,2331
320,2381
320,2392
320,2441
320,2508
320,2560
320,2565
320,2570
320,2620
320,2671
320,2697
320,2785
321,686
322,738
322,764
323,305
323,358
323,471
324,415
325,2209
327,2090
328,638
329,2266
330,2332
331,2383
332,471
335,2616
337,2237
337,2455
338,2552
341,2697
345,415
345,2759
346,471
346,2723
347,525
348,738
348,857
350,686
351,264
351,273
351,305
351,329
351,389
351,419
351,446
351,476
351,501
351,508
351,530
351,533
351,559
351,591
351,615
351,659
351,697
351,714
351,729
351,753
351,771
351,829
351,842
351,866
351,2079
351,2169
351,2194
351,2223
351,2291
351,2324
351,2368
351,2401
351,2467
351,2521
351,2545
351,2577
351,2623
351,2680
351,2741
351,2776
355,611
356,498
357,331
357,441
357,553
357,2148
358,389
358,830
359,305
359,415
359,580
360,498
361,358
361,830
362,764
363,2237
364,611
364,638
365,712
365,830
365,2526
366,498
366,525
366,686
366,857
367,738
367,764
368,2697
369,2723
370,712
370,793
371,264
371,441
371,498
371,830
371,2552
372,471
372,2090
374,331
374,2455
377,258
377,277
377,305
377,334
377,390
377,431
377,482
377,495
377,504
377,544
377,600
377,650
377,665
377,705
377,716
377,724
377,769
377,827
377,836
377,866
377,2094
377,2154
377,2206
377,2209
377,2214
377,2261
377,2275
377,2324
377,2333
377,2377
377,2393
377,2441
377,2452
377,2495
377,2506
377,2511
377,2558
377,2566
377,2570
377,2623
377,2680
377,2688
377,2731
377,2741
378,498
380,2209
380,2526
381,525
381,2266
381,2299
382,2383
383,738
383,764
383,2148
383,2332
384,2209
386,857
386,2266
388,2122
389,2090
391,2237
391,2455
392,2180
392,2383
394,2417
394,2495
394,2526
396,2578
396,2642
397,2495
397,2669
398,2299
398,2552
399,2616
399,2697
399,2723
403,260
403,274
403,294
403,331
403,390
403,429
403,479
403,494
403,507
403,544
403,600
403,641
403,666
403,693
403,716
403,733
403,769
403,827
403,866
403,2088
403,2111
403,2150
403,2180
403,2199
403,2228
403,2248
403,2259
403,2285
403,2309
403,2385
403,2440
403,2491
403,2518
403,2562
403,2622
403,2664
403,2710
403,2752
407,264
407,738
408,305
410,2759
411,498
412,638
414,498
414,611
415,525
416,389
416,415
418,793
420,686
420,764
420,830
420,857
421,441
421,471
421,712
421,2417
422,2122
422,2759
425,2526
425,2642
426,764
427,331
427,358
427,738
428,611
428,638
429,308
429,328
429,372
429,437
429,483
429,540
429,597
429,602
429,607
429,709
429,767
429,823
429,826
429,866
429,2090
429,2097
429,2139
429,2150
429,2200
429,2253
429,2274
429,2279
429,2312
429,2325
429,2337
429,2385
429,2430
429,2440
429,2453
429,2457
429,2490
429,2514
429,2545
429,2562
429,2621
429,2659
429,2664
429,2710
429,2750
432,305
432,331
432,2455
433,441
