x_px,y_px
279,2299
282,2191
282,2261
284,405
288,2455
289,397
289,2088
289,2147
289,2166
289,2195
289,2250
289,2330
289,2389
289,2448
289,2507
289,2557
292,2590
294,686
297,576
298,2122
306,264
309,474
311,540
319,2794
320,266
320,321
320,378
320,435
320,519
320,716
320,868
320,2213
320,2388
320,2446
320,2506
320,2595
320,2684
320,2758
322,686
325,2590
327,2455
329,405
332,441
342,405
342,2332
351,295
351,406
351,491
351,574
351,744
351,1474
351,2159
351,2184
351,2224
351,2278
351,2328
351,2446
351,2545
351,2572
351,2653
351,2747
358,405
360,576
360,686
361,264
361,2688
364,2590
364,2759
368,2090
372,830
374,505
375,2495
376,2526
377,865
377,2229
379,611
379,642
379,717
379,750
379,782
379,2557
381,2299
382,2191
385,268
385,348
385,461
385,574
385,658
385,714
385,1460
385,2210
385,2268
385,2356
385,2474
385,2564
385,2622
385,2712
386,686
387,2122
390,2261
392,2723
394,540
394,2417
396,2590
398,2299
400,2655
406,576
410,474
415,2455
417,336
418,305
418,405
420,686
421,576
421,2417
422,2122
423,1300
423,2384
423,2503
423,2678
426,2759
440,576
443,2417
448,2688
450,441
450,2122
456,2299
456,2417
458,540
458,830
459,2590
460,576
460,686
469,372
469,2104
469,2169
469,2215
469,2247
469,2260
469,2281
469,2320
469,2346
469,2384
469,2437
469,2518
469,2590
469,2703
474,264
474,2090
477,2191
478,2417
479,405
480,2299
486,2557
505,293
505,304
505,355
505,368
505,392
505,436
505,2574
505,2670
506,2723
534,405
534,2623
536,2688
540,371
541,338
541,2612
541,2698
567,2590
573,336
573,2665
587,2590
588,264
590,336
592,405
594,2723
596,2655
605,1477
605,2724
618,305
626,2688
636,264
637,322
637,410
637,2578
637,2663
648,336
668,273
668,356
668,2574
668,2612
668,2691
680,405
684,2688
698,336
699,356
699,2569
699,2610
699,2688
726,336
735,300
735,332
735,348
735,370
735,1520
735,2668
735,2716
744,2723
762,305
766,337
766,1560
771,2590
772,2688
795,2655
796,2623
799,364
799,2634
803,336
819,441
822,405
830,2557
831,300
831,418
831,446
858,441
864,364
864,448
864,2619
898,2526
904,312
904,375
904,414
904,1530
904,2677
917,305
920,441
935,314
935,1499
959,2655
961,336
973,343
973,426
973,2542
973,2619
978,2557
992,371
994,405
994,2623
996,441
1007,344
1007,430
1007,2590
1007,2612
1030,2655
1036,2557
1038,474
1039,316
1039,352
1039,408
1039,458
1039,2532
1039,2599
1039,2644
1050,336
1052,441
1058,2495
1065,2526
1079,364
1079,478
1079,2527
1079,2598
1079,2642
1107,336
1108,441
1112,374
1112,460
1112,2496
1112,2568
1112,2642
1116,2623
1133,2623
1144,376
1144,1470
1144,2566
1144,2641
1154,2557
1164,336
1164,371
1165,441
1175,1443
1175,2595
1175,2643
1182,2495
1183,2655
1184,2590
1209,1491
1223,405
1242,379
1242,459
1242,2524
1242,2578
1250,336
1252,441
1268,371
1271,2557
1273,352
1273,402
1273,459
1273,2488
1273,2578
1302,371
1309,334
1309,402
1309,2516
1309,2557
1309,2604
1310,474
1328,2526
1334,2383
1335,336
1341,1487
1350,2623
1358,2557
1359,2590
1366,441
1368,2495
1373,371
1373,407
1373,492
1373,2482
1373,2570
1390,336
1390,2623
1394,405
1404,1416
1404,2558
1404,2628
1416,371
1432,2332
1432,2557
1436,352
1436,440
1436,2479
1436,2558
1436,2628
1448,2590
1448,2623
1452,2557
1453,371
1458,2495
1463,441
1468,1448
1468,2598
1480,2557
1484,2495
1485,371
1495,2623
1502,356
1502,480
1502,2475
1502,2562
1506,2526
1506,2590
1508,2495
1523,2495
1526,2557
1534,488
1534,2481
1534,2516
1534,2534
1534,2588
1534,2602
1543,2557
1544,2495
1560,2455
1565,358
1565,464
1565,1518
1565,2582
1566,2495
1566,2557
1568,474
1582,2557
1587,371
1592,2526
1594,2590
1601,505
1602,371
1603,436
1603,2524
1604,2495
1612,441
1618,2455
1622,2557
1624,405
1635,362
1635,443
1635,2522
1641,371
1660,371
1666,421
1666,500
1678,2154
1682,441
1682,474
1697,424
1697,497
1700,371
1727,371
1729,440
1738,441
1767,430
1767,450
1767,501
1792,474
1796,441
1797,505
1799,428
1799,496
1831,402
1831,468
1856,474
1862,452
1880,405
1893,454
1894,474
1924,460
1932,474
1949,474
1955,405
1955,463
1960,474
1980,474
1995,452
2018,474
2023,441
2028,442
2028,503
2040,474
2062,477
2069,474
2093,480
2100,474
2124,449
2124,500
2124,538
2135,540
2155,479
2155,540
2156,474
2186,494
2195,474
2217,498
2249,504
2251,441
2252,474
2252,505
2281,438
2281,458
2281,498
2285,505
2294,441
2302,576
2312,562
2349,540
2367,576
2382,2455
2385,454
2385,524
2385,1495
2385,2439
2386,474
2397,2417
2413,505
2417,482
2417,552
2417,1520
2422,2455
2425,576
2449,474
2450,460
2450,498
2450,552
2450,594
2450,604
2450,2448
2462,576
2482,524
2488,505
2490,576
2516,453
2516,495
2516,566
2525,474
2530,576
2549,454
2549,469
2549,568
2549,596
2551,576
2581,456
2581,592
2581,2284
2581,2294
2586,611
2593,576
2613,456
2613,477
2613,584
2613,2300
2617,540
2624,2383
2630,2299
2638,576
2646,458
2646,550
2646,2352
2647,505
2650,2332
2664,474
2676,540
2679,460
2679,509
2679,601
2679,2276
2679,2324
2679,2342
2682,2417
2706,611
2706,2299
2710,642
2711,576
2713,556
2713,2271
2713,2342
2713,2412
2726,576
2735,2332
2744,548
2744,644
2744,2269
2744,2352
2746,576
2752,2261
2763,642
2776,564
2776,2295
2776,2376
2786,474
2809,494
2809,592
2809,2261
2809,2346
2816,540
2818,576
2818,2261
2820,642
2839,2332
2847,495
2847,546
2847,618
2847,2312
2847,2381
2862,505
2875,611
2875,642
2875,2299
2878,526
2878,626
2878,2308
2878,2383
2894,2332
2902,2261
2911,528
2911,1480
2917,2332
2926,576
2928,540
2938,2332
2943,501
2943,546
2943,630
2943,2212
2943,2248
2943,2326
2948,576
2953,2332
2965,576
2974,590
2974,2280
2986,611
2986,686
2988,2332
3013,505
3013,530
3013,569
3013,618
3013,660
3013,692
3013,2192
3013,2268
3013,2282
3013,2314
3013,2324
3013,2346
3018,576
3028,2191
3041,611
3044,509
3044,544
3044,639
3044,686
3044,2246
3044,2341
3052,2229
3052,2332
3064,540
3066,2332
3081,620
3081,2239
3081,2336
3085,2332
3086,576
3096,2154
3098,611
3098,2332
3106,686
3112,577
3112,684
3112,2154
3112,2202
3112,2302
3123,2261
3124,2191
3124,2299
3127,642
3145,635
3145,751
3145,2135
3145,2242
3152,576
3154,611
3154,717
3156,2122
3157,686
3181,560
3181,614
3181,640
3181,699
3181,722
3181,764
3181,2107
3181,2118
3181,2221
3181,2259
3181,2276
3181,2310
3196,2154
3197,576
3206,2122
3210,686
3213,687
3213,2138
3213,2259
3235,2090
3236,2191
3244,611
3248,626
3248,762
3248,806
3248,2070
3248,2152
3248,2254
3255,2154
3279,696
3279,814
3279,2144
3279,2274
3281,2154
3291,2050
3292,750
3292,2229
3298,2090
3301,2261
3302,2154
3311,618
3311,641
3311,795
3311,2019
3311,2064
3311,2176
3311,2236
3324,782
3338,830
3339,686
3342,686
3342,766
3342,841
3342,2028
3342,2186
3342,2222
3348,2191
3360,865
3362,2122
3368,1984
3370,2050
3372,2016
3374,686
3374,795
3374,1992
3374,2056
3374,2185
3377,717
3384,1949
3386,898
3406,966
3410,716
3410,763
3410,810
3410,896
3410,938
3410,970
3410,1940
3410,2063
3410,2169
3418,2090
3424,1918
3426,2154
3438,1853
3442,966
3443,884
3443,1844
3443,1874
3443,2025
3446,997
3450,930
3450,1949
3466,2090
3470,2050
3474,1853
3484,813
3484,921
3484,1016
3484,1096
3484,1917
3484,2108
3486,1760
3492,1984
3496,830
3496,898
3496,2090
3507,1127
3510,2016
3513,865
3525,876
3525,933
3525,966
3525,984
3525,1042
3525,1100
3525,1182
3525,1866
3526,1697
3533,1918
3536,1884
3542,1028
3544,898
3548,997
3556,930
3557,1059
3558,1949
3560,956
3560,1164
3560,1556
3560,1719
3560,1834
3560,1889
3560,1971
3564,1822
3566,1295
3566,1634
3569,1918
3570,1127
3572,1090
3574,1259
3576,1791
3584,1568
3584,1853
3588,1431
3588,1506
3591,948
3591,986
3591,1070
3591,1155
3591,1212
3591,1296
3591,1608
3591,1918
3594,966
3600,1599
3600,1760
3601,1295
3605,1728
3606,1158
3614,1191
3616,1127
3620,1222
3621,1634
3622,1665
3626,1918
3631,1068
3631,1186
3631,1340
3631,1379
3631,1435
3631,1482
3631,1752
3633,1127
3635,1697
3644,1369
3644,1400
3648,1537
3650,1634
3660,1338
3662,1463
3663,1154
3663,1399
3663,1544
3663,1660
3663,1746
3663,1832
3670,1127
3673,1431
3688,1634
3692,1463
3695,1154
3695,1222
3695,1410
3695,1674
3696,1599
3712,1259
3720,1506
3720,1568
3722,1295
3723,1634
3727,1369
3729,1400
