x_px,y_px
272,389
273,358
274,2122
275,441
279,2299
280,2148
282,2209
282,2266
285,2122
285,2383
289,2087
289,2165
289,2197
289,2280
289,2317
289,2428
289,2455
294,686
298,580
298,2122
300,2237
305,498
306,525
306,2526
307,2237
311,793
312,305
313,611
314,712
314,2237
315,331
316,830
317,331
317,830
318,2266
320,334
320,336
320,555
320,659
320,714
320,771
320,829
320,867
320,2095
320,2152
320,2153
320,2211
320,2266
320,2268
320,2508
320,2567
321,305
321,686
322,305
322,738
323,305
323,471
324,305
328,638
337,2237
347,525
348,738
348,857
350,686
351,305
351,444
351,446
351,501
351,531
351,533
351,659
351,714
351,771
351,829
351,867
351,2079
351,2151
351,2169
351,2194
351,2224
351,2291
351,2324
351,2368
351,2401
351,2467
351,2521
351,2545
351,2577
351,2623
351,2680
351,2741
351,2776
354,441
356,441
357,331
357,498
358,389
359,580
359,830
360,305
360,498
360,830
361,830
362,830
363,2237
364,611
364,638
365,712
366,498
366,525
366,686
366,712
366,830
366,857
367,738
367,764
370,793
371,712
372,471
372,498
372,830
377,431
377,495
377,544
377,600
377,716
377,769
377,827
377,865
377,2095
377,2151
377,2209
377,2218
377,2275
377,2323
377,2623
377,2680
377,2741
379,498
381,525
381,2299
383,738
383,764
384,2148
386,857
387,2209
388,2122
388,2266
391,2237
391,2383
391,2455
392,2180
394,2417
394,2495
395,2526
396,2578
396,2642
397,2669
398,2299
398,2552
399,2616
399,2697
399,2723
403,294
403,479
403,494
403,544
403,600
403,641
403,666
403,716
403,734
403,769
403,827
403,866
403,2088
403,2150
403,2180
403,2200
403,2257
403,2385
403,2440
403,2491
403,2562
403,2622
403,2710
407,738
408,305
411,498
412,638
415,498
415,525
416,389
416,415
418,793
420,686
420,830
420,857
421,441
421,471
421,712
422,2122
425,2642
427,331
427,358
427,738
427,764
428,611
428,638
429,329
429,373
429,767
429,865
429,2098
429,2100
429,2150
429,2200
429,2385
429,2440
429,2490
429,2562
429,2622
429,2664
429,2710
434,2148
435,2148
436,2148
436,2209
437,2148
440,2148
440,2495
441,2266
443,2383
446,2266
446,2697
447,2723
450,2122
458,830
460,498
460,553
460,580
460,611
460,638
460,686
460,712
469,308
469,373
469,2169
469,2246
469,2261
469,2346
469,2575
469,2621
469,2681
469,2698
469,2716
473,305
473,2090
474,2148
478,2266
478,2417
479,2332
480,2299
483,2697
487,415
487,2578
489,2642
504,2723
505,293
505,303
505,355
505,392
505,436
505,2577
505,2675
505,2678
505,2728
507,2642
507,2669
533,389
535,268
535,312
535,316
535,368
535,2617
535,2656
535,2691
535,2716
535,2736
541,331
542,358
561,312
561,328
561,362
561,2616
561,2724
584,389
587,266
587,312
587,314
587,361
587,408
587,2679
590,331
590,358
604,389
617,258
617,272
617,325
617,359
617,384
617,2579
627,264
643,325
643,359
643,366
643,369
643,409
643,2624
643,2675
647,331
647,358
648,305
652,389
669,290
669,320
669,363
669,2572
669,2697
669,2715
673,2642
680,2669
696,389
697,318
697,319
697,320
697,363
697,2569
697,2659
698,331
703,305
709,358
712,358
724,389
725,300
725,331
725,347
725,420
725,2660
726,331
735,2616
740,2669
745,389
746,2669
750,389
751,332
751,347
751,421
751,2714
763,358
764,415
765,415
766,415
767,415
768,415
781,306
781,328
781,361
781,2561
781,2627
781,2648
781,2720
787,389
795,2642
795,2669
815,415
831,298
831,446
857,297
857,434
857,2550
857,2587
858,441
888,301
888,450
910,2552
910,2578
912,2526
917,314
917,342
917,352
917,421
917,2542
917,2543
921,331
922,441
932,358
943,415
944,331
949,345
949,352
949,454
949,2524
949,2596
949,2620
975,352
975,398
975,2648
979,441
980,389
996,2616
999,331
1007,360
1007,2612
1011,441
1022,2526
1033,316
1033,359
1033,2503
1033,2644
1037,331
1059,316
1059,2549
1059,2649
1078,2552
1086,318
1086,346
1086,364
1086,478
1086,2497
1086,2530
1086,2598
1086,2642
1090,2526
1092,2578
1095,2552
