x,y
0,98
1,205
1,233
1,299
1,356
1,525
1,792
2,314
2,367
2,390
2,472
2,595
2,678
3,338
3,430
3,442
4,402
4,458
5,563
5,642
5,654
5,667
5,755
5,767
6,715
6,781
7,582
7,704
7,730
7,743
7,836
7,885
8,205
8,692
8,856
9,525
9,667
9,796
10,299
10,808
11,233
11,678
11,874
12,79
12,743
13,83
13,100
13,200
13,204
13,209
13,289
13,306
13,310
13,314
13,318
13,325
13,342
13,360
13,370
13,374
13,386
13,400
13,426
13,443
13,453
13,463
13,478
13,498
13,513
13,517
13,523
13,532
13,577
13,630
13,656
13,665
13,691
13,712
13,725
13,739
13,768
13,781
13,824
13,843
13,860
13,879
13,885
13,897
15,378
16,415
17,525
17,667
18,314
18,338
18,356
18,390
18,458
19,430
19,442
21,327
21,472
21,502
21,692
22,487
22,582
22,730
22,796
23,513
23,808
23,856
23,885
24,704
24,874
25,99
25,324
25,329
25,345
25,359
25,378
25,387
25,418
25,442
25,460
25,477
25,500
25,520
25,534
25,550
25,556
25,575
25,589
25,617
25,628
25,650
25,669
25,709
25,746
25,768
25,782
25,787
25,800
25,824
25,842
25,846
25,860
25,878
25,898
26,715
27,513
27,730
27,836
29,367
29,743
29,755
29,767
30,642
30,678
31,314
31,327
31,338
31,513
31,796
31,885
32,378
32,781
33,54
34,79
34,220
34,595
34,874
35,233
35,327
35,513
35,582
36,390
36,442
36,458
37,203
37,214
37,321
37,359
37,365
37,377
37,381
37,385
37,397
37,401
37,435
37,477
37,499
37,525
37,534
37,556
37,563
37,587
37,591
37,639
37,649
37,654
37,667
37,688
37,707
37,723
37,746
37,767
37,783
37,790
37,794
37,798
37,802
37,824
37,846
37,850
37,854
37,881
37,898
39,327
41,378
41,730
41,781
42,472
44,692
44,704
44,743
44,856
45,430
45,715
46,525
46,874
47,79
47,233
47,327
47,563
47,836
48,338
48,402
48,767
48,796
48,824
49,97
49,191
49,212
49,245
49,252
49,314
49,323
49,331
49,356
49,360
49,367
49,376
49,386
49,428
49,439
49,459
49,474
49,498
49,515
49,533
49,551
49,567
49,576
49,585
49,608
49,631
49,649
49,668
49,688
49,711
49,722
49,730
49,746
49,771
49,775
49,779
49,788
49,801
49,846
49,856
49,880
49,896
50,808
52,220
52,824
53,245
53,378
53,442
53,781
53,885
54,472
55,327
55,390
55,430
55,487
55,537
55,582
56,299
56,338
56,502
56,513
56,692
56,824
57,245
57,781
58,367
58,630
58,704
58,715
58,796
59,525
59,642
60,378
60,654
60,755
61,98
61,203
61,207
61,214
61,229
61,243
