x_px,y_px
0.5384615384615384,875.0
1.0,295.0
1.0,813.5
1.3333333333333333,99.0
1.6666666666666667,507.0
2.0,210.0
2.0,230.0
2.3333333333333335,191.0
2.3333333333333335,468.0
2.3333333333333335,659.0
3.6666666666666665,329.0
4.0,348.0
4.0,381.0
4.0,435.0
6.0,642.0
6.333333333333333,560.0
7.0,525.6363636363636
7.0,695.0
8.0,859.0
8.666666666666666,711.0
9.0,787.0
9.0,841.0
10.0,435.0
10.0,676.0
11.0,399.46153846153845
11.0,806.0
11.0,878.0
11.428571428571429,729.1428571428571
12.090909090909092,584.5454545454545
12.666666666666666,824.0
13.0,230.0
13.076923076923077,311.0
14.0,658.4285714285714
15.333333333333334,381.0
16.5,320.5
16.75,389.75
17.0,76.33333333333333
17.0,213.0
17.0,232.0
17.0,292.3333333333333
17.0,312.0
17.0,328.0
17.0,338.0
17.0,346.0
17.0,401.0
17.0,405.6666666666667
17.0,427.0
17.0,452.0
17.0,481.0
17.0,502.0
17.0,516.0
17.0,538.0
17.0,562.6666666666666
17.0,583.6666666666666
17.0,618.0
17.0,636.0
17.0,661.5
17.0,677.0
17.0,692.0
17.0,715.0
17.0,727.0
17.0,750.0
17.0,771.0
17.0,784.0
17.0,797.0
17.0,809.0
17.0,827.0
17.0,846.0
17.0,863.0
17.0,881.0
17.0,889.0
17.647058823529413,373.3529411764706
20.0,364.0
20.0,490.0
20.0,526.0
20.0,624.0
21.0,435.0
21.4,295.4
21.5,559.75
22.333333333333332,380.5
23.0,400.0
23.0,468.0
23.0,642.0
23.0,659.0
23.333333333333332,750.3571428571429
24.666666666666668,542.0
25.0,585.0
25.0,841.0
27.75,859.25
28.0,507.0
28.6,728.6
28.666666666666668,806.0
29.0,786.8
30.0,695.0
30.0,824.0
32.0,642.0
32.0,878.0
33.0,841.0
33.421052631578945,757.0526315789474
34.0,78.33333333333333
34.0,83.66666666666667
34.0,210.0
34.0,234.0
34.0,326.0
34.0,343.0
34.0,348.0
34.0,369.0
34.0,379.6666666666667
34.0,402.0
34.0,422.0
34.0,435.6666666666667
34.0,446.0
34.0,460.0
34.0,480.0
34.0,503.0
34.0,514.0
34.0,523.0
34.0,537.0
34.0,559.0
34.0,638.0
34.0,656.0
34.0,672.0
34.0,692.0
34.0,710.0
34.0,726.6666666666666
34.0,794.0
34.0,804.0
34.0,849.0
34.0,862.0
34.0,868.0
34.1764705882353,833.1764705882352
34.25,214.5
34.25,240.5
34.4,314.0
34.5,100.125
34.57142857142857,777.7142857142857
34.76923076923077,889.2307692307693
36.0,542.0
36.0,896.0
37.0,418.0
37.333333333333336,400.0
37.833333333333336,710.375
38.0,329.0
38.3,380.3
39.0,507.0
40.0,452.0
41.0,468.0
41.0,642.0
42.0,490.0
42.333333333333336,659.0
44.0,526.0
46.0,560.0
46.0,624.0
46.76470588235294,347.94117647058823
47.0,676.0
47.0,729.0
47.0,896.0
47.75,787.25
48.0,770.1428571428571
49.0,841.0
49.0,859.4
50.0,695.0
50.333333333333336,246.0
52.333333333333336,642.0
53.57142857142857,236.23809523809524
53.6,321.0
54.0,81.33333333333333
54.0,97.33333333333333
54.0,254.0
54.0,286.3333333333333
54.0,306.3333333333333
54.0,347.0
54.0,363.0
54.0,379.0
54.0,385.0
54.0,404.0
54.0,419.0
54.0,425.0
54.0,434.0
54.0,443.0
54.0,463.0
54.0,479.0
54.0,501.0
54.0,518.0
54.0,536.0
54.0,554.0
54.0,579.0
54.0,608.0
54.0,653.0
54.0,671.0
54.0,691.0
54.0,713.3333333333334
54.0,724.3333333333334
54.0,729.0
54.0,742.0
54.0,749.0
54.0,766.3333333333334
54.0,773.0
54.0,784.0
54.0,806.0
54.0,829.0
54.0,850.0
54.0,871.0
54.0,880.0
54.0,898.0
54.2,211.8
54.4,637.6
54.55555555555556,864.2222222222222
54.857142857142854,333.14285714285717
55.0,329.0
55.333333333333336,262.0
56.666666666666664,642.0
57.0,452.0
57.0,490.0
57.333333333333336,381.0
57.78378378378378,230.51351351351352
59.0,400.0
60.0,585.0
60.0,695.0
61.0,507.0
61.0,526.0
61.0,676.0
61.85,729.2
62.0,348.0
63.0,364.18333333333334
63.0,642.0
63.0,841.0
64.60526315789474,806.1842105263158
65.0,452.0
65.0,624.0
65.0,787.0
65.88888888888889,418.1111111111111
66.0,468.0
67.0,51.0
67.0,659.0
67.0,859.0
68.25,769.5
69.0,348.0
70.0,329.0
70.3,332.5
70.42857142857143,251.57142857142858
70.6,101.6
70.6470588235294,871.8235294117648
70.75,353.8333333333333
70.75,421.5
71.0,210.33333333333334
71.0,231.0
71.0,244.0
71.0,365.0
71.0,415.3333333333333
71.0,499.0
71.0,517.0
71.0,536.0
71.0,556.0
71.0,578.0
71.0,586.0
71.0,645.0
71.0,656.0
71.0,672.0
71.0,690.0
71.0,703.3333333333334
71.0,712.0
71.0,727.3333333333334
71.0,749.0
71.0,807.0
71.0,825.0
71.0,861.0
71.0,886.0
71.0,897.6666666666666
71.2,478.6
71.25,41.5
71.25,790.25
71.4,218.0
71.46153846153847,841.0
71.5,456.0
71.6470588235294,775.0588235294117
71.76923076923077,377.2307692307692
71.76923076923077,396.2307692307692
72.0,381.0
72.0,400.0
73.0,490.0
73.0,787.0
73.66666666666667,452.0
74.9090909090909,209.63636363636363
75.27272727272727,840.2727272727273
75.8,467.6
75.85,878.0
77.33333333333333,642.0
77.66666666666667,542.0
77.66666666666667,585.0
